ID,Cuteness,Number of Hops per Hour,FavFood
98,9,114.77629714061155,lettuce
99,9,200.8918859130891,apples
100,9,195.2770558378074,kale
101,10,187.2182569601199,lettuce
102,9,186.20487945252586,kale
103,9,171.0518277286921,apples
104,9,161.02088858871585,apples
105,9,111.89232710128694,carrots
106,9,135.13029674341746,lettuce
107,10,145.43600936273688,kale
108,9,120.24365141093918,carrots
109,10,173.85518869505367,lettuce
110,10,145.8161942577803,carrots
111,9,107.78392985779983,apples
112,9,123.66213224649853,lettuce
113,9,169.93266244321097,carrots
114,9,109.72268972020645,carrots
115,10,193.18924775017013,kale
116,9,151.78232420896734,carrots
117,9,146.83787455621155,lettuce
118,9,164.06121430739353,lettuce
119,9,188.4154490371381,kale
120,9,128.64288171453435,lettuce
121,9,170.78861560515566,apples
122,10,160.0790601111336,lettuce
123,10,125.21500950014217,lettuce
124,9,194.7415327020739,carrots
125,9,178.99232422553015,carrots
126,9,166.47306573320023,lettuce
127,10,184.19281378800486,kale
128,9,186.80731533388757,carrots
129,10,165.35492223702747,kale
130,9,176.50107842339574,lettuce
131,9,177.71967148305322,lettuce
132,9,163.77927043443842,apples
133,9,156.9041760742369,carrots
134,10,164.50471338774554,lettuce
135,10,112.66570179085986,apples
136,9,181.47162695285536,carrots
137,9,195.39442857520504,lettuce
138,10,107.97381375016909,lettuce
139,10,179.14092333058767,carrots
140,10,124.14916577406605,carrots
141,10,138.42071286087216,carrots
142,9,172.7266687116177,lettuce
143,10,103.57896103046296,lettuce
144,9,193.2514152748599,apples
145,10,176.26555546195624,kale
146,10,142.51977964129918,carrots
147,10,105.75143933173156,lettuce
148,10,140.90257534918763,lettuce
149,10,168.6140559301268,carrots
150,9,200.93816340300413,kale
151,9,166.15512440999328,carrots
152,10,130.24743590031753,kale
153,10,167.19521325889497,lettuce
154,9,155.40449509143244,kale
155,10,178.50554503487373,apples
156,10,110.38509824319823,lettuce
157,9,172.3329673058694,apples
158,10,152.72328248327713,carrots
159,10,187.83441631492255,carrots
160,9,133.69551846989486,carrots
161,9,158.31923377764022,kale
162,9,187.68486396492287,lettuce
163,10,111.15044355483532,carrots
164,9,200.6828601553681,carrots
165,9,173.38015526009292,lettuce
166,9,98.9312028924013,carrots
167,9,125.14821601182993,apples
168,9,175.52106480446923,lettuce
169,9,101.82262317918563,lettuce
170,10,157.0938802676422,lettuce
171,10,137.33856619041842,apples
172,9,157.24982950242952,lettuce
173,9,105.1010809119811,apples
174,9,180.4835531406466,lettuce
175,10,194.34205869798362,kale
176,10,198.48669519928183,carrots
177,10,167.0002145066341,kale
178,10,115.2109977028652,carrots
179,10,175.72813059826885,apples
180,10,105.2211414179659,kale
181,10,103.33192582322305,lettuce
182,10,139.18172406482333,carrots
183,10,149.4904415537061,carrots
184,9,174.89371407515304,kale
185,9,168.94102517581197,apples
186,9,147.30676078285677,kale
187,9,127.60696697979512,apples
188,10,199.91540847179053,apples
189,10,139.10817178456352,carrots
190,9,141.82419784521278,kale
191,10,109.34935576016845,kale
192,9,188.22883859092767,apples
193,10,163.14890640119242,kale
194,9,118.61243528989651,lettuce
195,10,104.64606823373828,lettuce
196,10,172.52455209219352,kale
197,9,163.97637303665337,kale
198,10,133.5646630631896,apples
199,9,191.7189031038217,lettuce
200,9,116.50075998920903,lettuce
201,9,139.05674483796142,carrots
202,9,205.08733765562684,apples
203,10,136.03473959746466,carrots
204,10,165.4016983175437,lettuce
205,10,142.92832420093993,apples
206,9,129.49051572212448,kale
207,10,197.4713265015943,apples
208,9,140.28429713283717,kale
209,10,189.628977727809,kale
210,10,122.26045058096618,apples
211,10,126.12986598648288,kale
212,9,114.1660232964079,carrots
213,10,162.37922361254934,lettuce
214,10,130.00361947448073,kale
215,9,185.99441474220743,carrots
216,10,160.2195373574273,kale
217,9,192.8009699516235,lettuce
218,10,126.74813559753245,carrots
219,9,195.25082086594327,lettuce
220,9,174.8917440706342,lettuce
221,10,179.93709986033156,carrots
222,9,192.62030592733146,carrots
223,9,174.20676038936247,carrots
224,9,161.60413036262972,apples
225,9,110.21608319849554,carrots
226,9,98.17883429566086,carrots
227,9,188.83839705623865,carrots
228,10,155.5453301182625,carrots
229,9,179.82414643891377,kale
230,9,144.3023689959618,apples
231,10,112.89974845519318,lettuce
232,10,104.73910098923692,carrots
233,10,170.2109298839694,kale
234,10,147.1982342979909,kale
235,10,110.0837944571764,kale
236,10,151.02973752338156,lettuce
237,10,112.55923866987987,carrots
238,9,152.14893509798384,apples
239,9,135.2622023776983,apples
240,10,181.85100511054907,kale
241,9,127.51113661356533,lettuce
242,9,145.2431695198916,lettuce
243,9,103.95368855341867,lettuce
244,10,107.62471573651794,apples
245,10,141.94313560290033,kale
246,9,143.3905155063155,carrots
247,10,160.84885893211074,apples
248,9,122.09768538640543,kale
249,9,168.94205830591073,kale
250,9,181.4927015115965,carrots
251,9,174.30744917638614,carrots
252,10,110.1423484108879,carrots
253,10,153.5072453287542,lettuce
254,10,113.53870844635338,carrots
255,9,118.74293776288985,kale
256,10,197.08421707824064,carrots
257,9,120.31504279004724,kale
258,10,150.5973999133351,apples
259,9,173.41222113172037,lettuce
260,9,172.21308625138224,apples
261,9,156.9251139311416,apples
262,10,99.43150242090586,kale
263,10,133.31383534831062,apples
264,10,151.00881515656843,kale
265,10,112.32719329792629,carrots
266,9,139.846204704891,carrots
267,10,99.39036357659691,kale
268,10,101.20168494771318,carrots
269,9,130.51130075464312,lettuce
270,9,115.81153203886875,apples
271,9,151.23725179528643,lettuce
272,10,158.18204394896412,apples
273,9,182.00156293356312,carrots
274,9,132.48002201164496,lettuce
275,9,116.71790366820751,carrots
276,10,114.64923790569823,apples
277,9,164.05217174710148,kale
278,10,170.1531243827344,kale
279,10,107.75399689750304,lettuce
280,9,192.16985190342572,carrots
281,9,106.53408993550677,carrots
282,10,155.73812256108712,lettuce
283,9,167.5655996768764,kale
284,9,192.05712412229119,apples
285,10,170.53389442976572,lettuce
286,10,176.39408250951496,apples
287,9,136.62756847213262,kale
288,10,176.99017146569602,carrots
289,9,108.15239042531316,kale
290,9,189.43607062283175,lettuce
291,9,160.1887154445315,carrots
292,10,184.10326816064912,lettuce
293,9,145.1066936581043,lettuce
294,9,168.44660101565393,kale
295,9,159.5913038386979,lettuce
296,10,175.9480037072925,kale
297,10,108.21476130227586,carrots
298,10,99.47602723730559,kale
299,10,119.38475508563778,carrots
300,10,114.4283444895455,kale
